Date;Time of day;Volume of activated balancing services (+)[MWh];Volume of activated balancing services (-)[MWh];Price of activated balancing services (+)[Euro/MWh];Price of activated balancing services (-)[Euro/MWh];Volume of procured balancing services (+)[MW];Volume of procured balancing services (-)[MW];Price of procured balancing services (+)[Euro/MW];Price of procured balancing services (-)[Euro/MW]
Jan 1, 2016;12:00 AM;0.25;103.25;49.05;-41.94;2,500;2,500;951.68;1,273.95
Jan 1, 2016;12:15 AM;7;15.25;52.08;-19.79;2,500;2,500;951.68;1,273.95
Jan 1, 2016;12:30 AM;64.75;2.5;58.69;-7.91;2,500;2,500;951.68;1,273.95
Jan 1, 2016;12:45 AM;18.75;4;53.66;-9.79;2,500;2,500;951.68;1,273.95
Jan 1, 2016;1:00 AM;27;4.5;54.42;-10.67;2,500;2,500;951.68;1,273.95
Jan 1, 2016;1:15 AM;18.5;4;53.62;-9.86;2,500;2,500;951.68;1,273.95
Jan 1, 2016;1:30 AM;5.5;7.75;51.86;-14.77;2,500;2,500;951.68;1,273.95
Jan 1, 2016;1:45 AM;2.25;14;50.71;-19.38;2,500;2,500;951.68;1,273.95
Jan 1, 2016;2:00 AM;72.5;2;59.52;-6.63;2,500;2,500;951.68;1,273.95
Jan 1, 2016;2:15 AM;19.5;3.75;53.73;-9.5;2,500;2,500;951.68;1,273.95
Jan 1, 2016;2:30 AM;8.75;8;52.43;-15.24;2,500;2,500;951.68;1,273.95
Jan 1, 2016;2:45 AM;2.5;5;50.91;-11.21;2,500;2,500;951.68;1,273.95
Jan 1, 2016;3:00 AM;91.75;1.25;61.75;-2.5;2,500;2,500;951.68;1,273.95
Jan 1, 2016;3:15 AM;43.5;1;56.19;-2.5;2,500;2,500;951.68;1,273.95
Jan 1, 2016;3:30 AM;3.75;4;51.47;-9.99;2,500;2,500;951.68;1,273.95
Jan 1, 2016;3:45 AM;13.5;6.25;52.96;-12.43;2,500;2,500;951.68;1,273.95
Jan 1, 2016;4:00 AM;6.75;7.5;52.04;-14.49;2,500;2,500;951.68;1,273.95
Jan 1, 2016;4:15 AM;1;12.25;49.05;-18.48;2,500;2,500;951.68;1,273.95
Jan 1, 2016;4:30 AM;1.75;8.25;50.19;-15.39;2,500;2,500;951.68;1,273.95
Jan 1, 2016;4:45 AM;11.25;2.75;52.75;-8.25;2,500;2,500;951.68;1,273.95
Jan 1, 2016;5:00 AM;13.25;2.75;52.95;-8.06;2,500;2,500;951.68;1,273.95
Jan 1, 2016;5:15 AM;19.75;2;53.77;-6.03;2,500;2,500;951.68;1,273.95
Jan 1, 2016;5:30 AM;10.75;1.75;52.71;-4.92;2,500;2,500;951.68;1,273.95
Jan 1, 2016;5:45 AM;4.25;2.75;51.62;-8.24;2,500;2,500;951.68;1,273.95
Jan 1, 2016;6:00 AM;23.5;1.5;54.13;-4.86;2,500;2,500;951.68;1,273.95
Jan 1, 2016;6:15 AM;17.5;2.25;53.49;-7.05;2,500;2,500;951.68;1,273.95
Jan 1, 2016;6:30 AM;20;3.75;53.79;-9.55;2,500;2,500;951.68;1,273.95
Jan 1, 2016;6:45 AM;9;2;52.44;-6.31;2,500;2,500;951.68;1,273.95
Jan 1, 2016;7:00 AM;9.75;17.75;52.58;-20.63;2,500;2,500;951.68;1,273.95
Jan 1, 2016;7:15 AM;3.25;13;51.29;-18.9;2,500;2,500;951.68;1,273.95
Jan 1, 2016;7:30 AM;2.75;71;51.03;-29.46;2,500;2,500;951.68;1,273.95
Jan 1, 2016;7:45 AM;0.75;85.75;49.05;-33.18;2,500;2,500;951.68;1,273.95
