"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"1",1172.75,14737.75,4657.5,4511.25,1036.25,10705.5,6372,2275.25,0,106,200.25,3679.25
"2",1181,14809.5,3850,4506.75,1031.25,10701.75,6293.75,2285.5,0,106,159.75,3572.75
"3",1179.5,14871.75,3589.75,4495.75,1029.5,10604.25,6313,2228.75,0,106,33.75,3400.5
"4",1170,14970.5,3391,4502,1016.75,10682.5,6431,2011.5,0,106,32.5,3310.5
"5",1169,14946,3353.5,4493.5,997.75,10608.5,6352.25,1942.75,0,106,49,3097
"6",1167.75,14982,3399.25,4487.75,995.25,10468.25,5737,1582.5,0,106,40,2937
"7",1168.75,14770.5,3512,4496,1003.25,10421.75,5245,1329.5,0,106,18,2663.5
"8",1181,14954.5,3583.5,4509.25,1000.75,10295.5,4672,951.75,0,106,358,2890.5
"9",1183.5,14962,3787.75,4540.5,1001.25,10327.75,3993,651,137,106,233.25,3043.5
"10",1191.25,14760.25,3863.5,4536.5,1054.75,10317,3290.25,443.5,964.5,106,259.5,3560
"11",1252.5,14663.25,4587.5,4533.25,1044.75,10232,2467,308.5,2522.5,106,80,3820.75
"12",1257,14968.25,5443.5,4538,1037.75,10193.5,1656.25,174.25,3767.5,106,318,3917.25
"13",1242.5,15099.25,5747.75,4547.5,1019.75,10426,1154.75,132.75,4121,106,620.25,3869.25
"14",1241.5,15179.75,5833.75,4544.5,1052.5,10537.75,706,83.5,3717,106,289.5,3254
"15",1241.75,15378,5757.25,4523,1076,10683,447,48.5,2442,106,469.5,3609.25
"16",1218.25,15425,5814,4527.25,1084.75,10678.75,398,6.5,840.75,106,1074,3290.25
"17",1226.5,15455,6147.25,4512,1072,10686.25,662.75,2,50.5,106,1290,3673.25
"18",1238.25,15454.75,6835.25,4532,1057.75,10577.25,1293.5,5,0,106,2866,4269.5
"19",1253.25,15437.75,7020.75,4513.5,1046.75,10663,2052.5,94,0,106,1237,4321.75
"20",1254.5,15466,6812.75,4533.5,1025,10614.5,3105.25,266.25,0,106,968.25,3823.5
"21",1249.25,15481.25,6083.75,4541.25,998.75,10563,3772,610.75,0,106,1508.5,3462.25
"22",1215,15385.5,5180.75,4544,993,10654.5,4501.5,907.25,0,106,540.75,3189.5
"23",1190,15254.75,4741.5,4530,1035.25,10659.75,4989.5,1190.75,0,106,423,3378.75
"24",1181,14878.75,3967.25,4521.75,1051.5,10640.75,5506.75,1451.25,0,106,593.75,3317.25
"25",1171.75,14240.75,3427.5,4507.25,990,10619.25,5805,1656.5,0,106,84.25,3087.25
"26",1176,13268.75,2670.25,4529.25,1007.5,10651.5,6602.5,2160.25,0,106,26.25,3307.75
"27",1039,11867.25,2597.25,4528,993.75,10477.25,8205.5,2509.75,0,106,2.25,3303.5
"28",917.5,10317,2513.25,4501.25,992.25,10272.25,9220.75,2728.25,0,106,16,3404
"29",875.25,9827,2474,4503.5,1019,10326.25,10669.25,2782.25,0,106,0,3117
"30",881,10021.5,2498.25,4515.25,1031.25,10258,11829.25,2810,0,106,23.5,3149
"31",861.25,9847,2532.5,4507,1002.75,10059.75,12668.5,2812,0,106,0,3296
"32",917,10429.5,2569.75,4499.25,1045.5,10372,13262.75,2799.75,0,106,35.25,3503.75
"33",1092,11140.5,2705.75,4525.75,1082.25,10496,13783.25,2805,106.25,106,432.5,3761.25
"34",1161.75,13693,2874.75,4504.5,1065,10441.5,14533,2790.5,592.75,106,502.75,3838.75
"35",1179.75,14022.25,2951,4509.5,1087.75,10344.75,15116.5,2771.25,1341.25,106,643.5,3847.5
"36",1175.5,13901,3239,4525.75,1078.5,10363,15497.5,2767,1865.5,106,804.25,3918
"37",1142,13639.5,3440,4525.75,1113.75,10412.25,15563.25,2765.5,2043,106,597.5,4075.5
"38",1128.75,13416.75,3378.5,4513.75,1082.25,10422.5,15638.25,2756,1868.5,106,544.75,4247.5
"39",1138.25,13284.75,3288.5,4511,1107.25,10285.75,15778.75,2760.75,1177.25,106,597.25,3604.75
"40",1133.5,13222.25,3214.75,4500,1020.25,10285.5,15984.5,2769.25,381.75,106,417.75,3844.25
"41",1162.75,13255,3388,4524.75,1066,10287.75,16443.75,2748,27.25,106,768.25,4232.5
"42",1223.75,13122.25,3679.5,4524.25,1049,10447,17182.5,2730.25,0,106,1418.75,4486.75
"43",1207.5,13395.25,3405.5,4523.75,1045.25,10328.75,17489,2726,0,106,2292.25,4594.25
"44",1208.75,13445,3233.5,4536,1026.5,10279.25,17382,2725.5,0,106,2534,4105.5
"45",1194.25,13308.25,3228.75,4515.75,1042.5,10344.5,16963,2730,0,106,1638.75,3440.75
"46",1178.5,13374.25,3254.5,4504.25,1010.5,10330.5,16477.5,2724.25,0,106,630.75,3312.75
"47",1167.5,13964.25,3210,4504.5,1066,10336,15741,2719,0,106,1454.25,3140.5
"48",1163.25,13882,2341.75,4508.75,1058.25,10363.5,16050.75,2721,0,106,244.5,2788.25
"49",1098.25,11473,1748.75,4522.75,1062.75,10490.25,16212.75,2711.75,0,106,79,2688
"50",1097.75,10525,1681.25,4511,1043,10517.75,15900.75,2696.25,0,106,4.5,2987.75
"51",1093.5,10499.25,1701.75,4456,1022,10497.25,15918.75,2681.25,0,106,17.75,2853.75
"52",1085.25,10379.75,1700.5,4435.5,1029.5,10493.75,15755.25,2684.25,0,106,27.75,2914.5
"53",1069.75,10264.25,1685,4436.25,1049.25,10494.75,15599.25,2682,0,106,11.75,2729.75
"54",1057.75,10160.25,1708.75,4434.75,1034.75,10492.25,15630,2672.25,0,106,33.75,3256
"55",1059.25,10079.75,1781,4430.25,1022,10453.25,15756,2667,0,106,6,3514.25
"56",1070,10065.75,1839.75,4483,1074,10454,15520,2669.25,0,106,68,3356.25
"57",1081.75,11510.5,1922.75,4455.5,1072,10390.5,15075.5,2675.25,66.25,106,9.75,3147.25
"58",1199.75,12569,2091.5,4444,1072.5,10465,14537,2665,637.75,106,68.5,3151.75
"59",1192.75,13134.75,2354.75,4453,1070,10550.5,14026.75,2658.25,1647.5,106,171.75,3895.5
"60",1209,13799.75,2497.75,4463.5,1094.25,10508,12984.25,2647.75,2621,106,514.5,3658.75
"61",1218.75,13993.25,2573,4466.75,1072,10546.25,11910,2657.5,3051,106,612.5,3650.25
"62",1219.5,14378.75,2828.75,4465.25,1074.75,10544.5,11690.75,2667,2908.5,106,715.25,2879.75
"63",1227.25,14515.75,2921,4478.25,1080.25,10541,11726.75,2586.25,1880,106,748,2999.75
"64",1215,14948.25,3047.75,4477.75,1090.25,10513,12353.25,2527.5,658.5,106,231.75,3009.5
"65",1208.75,14853.75,3305.75,4493.25,1127.75,10439.75,12815,2562.25,48,106,1474.75,3024.75
"66",1205.5,14368.5,3604.25,4494.25,1054.25,10470.5,13712.25,2593.5,0,106,2461,3147.75
"67",1220,14568.5,3534.25,4480.5,1040.75,10530.25,14758.75,2535.25,0,106,739,3550
"68",1246.25,14609,3490.75,4491.75,1046.5,10500,15129.5,2519,0,106,1262.75,3795.75
"69",1214.25,14713,3516.75,4495,1064.75,10531,15213,2532,0,106,1576.5,3855.75
"70",1191.75,14791,3353.25,4498.25,1094.25,10453,15047.25,2541.25,0,106,690.75,3794
"71",1185,15317,3073.25,4485.75,1134,10466,14394.25,2561.25,0,106,474.5,3776
"72",1108.5,15359.5,2839.75,4475.25,1196.75,10443.25,14165.75,2580.5,0,106,351.75,3455.5
"73",1075.75,14248.5,2426.25,4463.75,1128,10447,13821,2594,0,106,42.25,3275
