29.34,1791.7
24.28,1503.2
25.26,1532.6
20.24,1231.4
21.94,1472.4
23.5,1591.4
21.87,1882.7
25.13,2232.7
24.52,2229
23.67,2842.3
25.64,2700.7
27.8,2677.3
29.75,2524
28.45,2317.6
26.42,2018.9
28.25,1794.5
32.49,2131.2
40.98,2353
39.48,2598.8
34.34,2793.4
31.09,3223.1
27.17,4068.1
27.59,4098.7
21.6,3353.6
14.36,1514.1
13.48,2032.1
10.16,2391.9
7.77,2227.8
6.45,2485.3
6.38,2529.3
3.01,2318.6
6.98,2813.6
9.37,3582.8
11.83,3831.6
18.85,3301.1
27.29,3934.6
29.36,4317.9
28.6,4174.3
30.22,3900.7
27.73,3402.5
28.75,3724.9
38.96,3368.9
41.66,2764.7
38.3,2923.1
31.65,2996.7
29.08,3019.7
32.61,2518.3
25.18,2824.1
20.44,2066.3
15.81,2335
17.87,2680.8
15.08,2792.4
11.55,3121.3
14.16,2978.3
14.69,2430.3
14.02,3140.7
20.93,2714.1
25,2852.8
27.33,4377.7
29.2,4718.7
26.54,4651.4
25.77,4883.7
24.03,4545.5
22.31,4306
26.72,3773
38.84,5335.3
41.61,5195.8
38.94,5762.8
38.03,4813.4
32.32,3450.9
33.33,3668.2
30.73,3404.9
23.63,3202.6
24.03,3533.7
22.8,3661.4
19.33,3759.6
16.23,3050.6
24.19,3261.7
37.74,3805.9
45.73,5044.3
48.78,4950.9
47.22,6316.9
47.98,6464.3
48.73,6859.1
48.48,7855.7
49.27,6402.9
50.87,6536.4
50.8,6123.6
51.52,6832.6
58.2,6888.8
56.2,7353.6
53.17,6110.6
44.74,6647.1
39.72,5879.8
38.23,5479.7
31.15,5076.2
26.98,1731.3
27.03,2016.4
25.34,1923.6
21.79,1758.8
24.64,1647.8
28.13,2490.3
35.45,2414
44.65,2511.2
44.25,2331.4
44.67,2771.2
45.37,3001.8
44.41,2963.7
42.57,3083.3
39.63,2943.2
38.64,2659.8
41.92,4038.1
50.09,4810.3
58.72,5299.2
58.14,6281
54.55,6198.4
46.6,5792.2
40.38,5924.6
37.22,6238.3
35.91,4665
29.21,1989.5
28.77,1773.8
27.85,1955.8
24.37,1976.6
25.65,2156.2
29.5,2086.5
31.85,1739.8
34.36,1755.1
32.95,2293.4
37.14,2492.6
41.12,3088.7
43.43,3670.8
44.42,3975.4
44.28,3676.5
42.68,4544.9
45.32,4604.2
46.84,4509.9
50.51,4902.1
53.42,6331.6
48.17,5073.9
41.03,4842.6
35.65,3492.6
36.94,3490.1
33.11,3430.4
24.69,1448.3
24.47,1778.5
25.31,2295.8
21.5,2369.5
22.26,2361.5
24.18,2161.5
29.87,1814.7
39.51,2947.1
41.1,2795.3
35.86,3950.1
31.72,5765.8
31.65,6224.9
31.54,6684.6
33.17,6956.9
36.45,7034.7
35.56,7260.9
34.5,5189
35.69,5754.3
38.01,6122.7
35.47,5893.9
31.06,5574.3
26.68,5042.3
24.14,5378.4
18.59,6153
26.13,2612.7
23.63,1925.8
20.41,1884
20.57,2098
15.22,2390.3
11.67,2518.4
20.22,3130.7
25.32,3241.2
27.81,4213.4
26.82,4920.9
22.08,6451.8
21.25,7711.4
16.92,8839.4
19.95,9044.4
25.96,9237
31.97,5687.8
42.61,5142.8
48.1,5463
48.32,5268.3
42.89,5642.4
38.08,4238.7
32.84,4486.4
32.07,3946.8
31.45,3979.7
27.17,1621.1
25.45,2070.6
26.08,1340
23.93,2220.4
23.12,1853.3
22.48,2118.1
24.06,1944
24.67,2133.5
27.98,2345.8
28.57,3274.9
28.12,3488.6
25.53,4482.6
26.81,4505.6
28.12,3746.5
27.26,2600.9
29.17,3099.2
32.26,3084.1
36.33,2764.2
33.83,2774.3
29.3,2879.8
27.98,3251.2
26.09,1953.7
25.55,1863.7
24.09,2133.6
17.03,1253.1
15.65,1516.3
11.05,2446.6
9.83,1792.9
9.25,1377.5
8.9,1639.5
8.4,1796.7
9.52,1736.8
12.5,1645.7
18.72,1519.4
24.59,2280.9
25.55,2909.5
26.89,2879.9
24.38,2581
21.91,2537.4
22.51,2417.5
25.23,2299.6
29.3,2537.6
33.15,3069
30.23,2563.4
21.52,3275.4
15.76,3260.6
22.11,2363.7
23.09,2844.9
20.21,2831.2
17.1,2524.9
13.49,2122.7
14.12,2221.3
14.73,1598.8
17.47,1370.6
24.77,1470.6
32.35,1530.1
39.84,2586.6
35.26,2689
31.6,4269.8
32.03,3891.6
32.7,4328.8
30.57,4368
31.71,4806
32.82,4404.7
31.11,3512.5
32.82,4369.7
33.12,3800.4
29.2,3943.9
25.99,4089.1
22.54,3952.3
24.24,3067.4
16.89,3834
16.19,1644
14.43,2735.1
13.1,2604
10.96,2500.7
11.53,2277.5
13.52,2005.6
20.03,2708.1
31.89,2039.8
33.86,2355.3
35.25,3615.1
31.37,3712.8
30.1,3981.4
31.06,5187.5
29.13,5296.4
28.93,5519.1
27.99,5108.6
31.12,4590.8
37.08,4508.6
39.04,3676.6
32.73,4096.5
26.3,2821.4
27.3,2695.1
29.03,3039.8
24.68,3425.4
26.41,1821.6
22.51,1687.7
19.18,1959.4
14.59,1421.1
16.91,1799.6
18.84,1678.1
28.93,2463.3
26.04,1870.1
32.03,2509.9
33.49,2384.4
32.34,3220.4
32.15,3225.4
32.16,3327.4
33.48,3989.6
34.14,3705.1
34.41,3968.6
37.03,3535.2
42.26,4123.1
39.79,3245.9
42.28,3675.7
33.11,2401
28.37,1561
26.49,1964.9
24.19,1734.6
28.14,1195.1
24.44,1293.7
22.26,1854.9
22.7,1730.9
22.19,1693.7
27.8,1853.7
30.67,1568
38.38,2083.3
44.73,2415.3
39.93,2654.5
30.5,2159.8
29.11,2869.6
26.36,4054.1
27.2,4642.6
31.62,5201.9
37.69,4305.9
41.79,4192.9
43,4183.8
40.12,2941.3
39.4,3221.3
34.16,2729.2
31.2,2128.6
27.24,2224.6
25.95,2507.9
23.34,1107.6
24.3,1441.5
23.52,1176.8
22.46,1278.6
24.06,1661.1
21.42,1548.3
21.92,1392.8
38.14,1439.4
38.9,2146.5
43.23,3159.9
45.58,4523.1
45.2,6110
45.43,5487.5
45.96,5176.5
44.83,5506.3
45.62,4843.5
47.56,5443.2
49.42,4735
49.44,5441.4
44.67,3614.2
35.5,3057.4
35.83,2386.3
