datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
4/2/2017 2:00:00 PM,4/2/2017 10:00:00 AM,4/2/2017 3:00:00 PM,4/2/2017 11:00:00 AM,0.01000,73086.118000,3402.100,34.05,3402.100
4/2/2017 3:00:00 PM,4/2/2017 11:00:00 AM,4/2/2017 4:00:00 PM,4/2/2017 12:00:00 PM,0.01000,71726.979000,3467.100,34.69,3467.100
4/2/2017 4:00:00 PM,4/2/2017 12:00:00 PM,4/2/2017 5:00:00 PM,4/2/2017 1:00:00 PM,0.01000,70833.016000,3473.800,34.77,3473.800
4/2/2017 5:00:00 PM,4/2/2017 1:00:00 PM,4/2/2017 6:00:00 PM,4/2/2017 2:00:00 PM,0.01000,69566.455000,3482.800,34.86,3482.800
4/2/2017 6:00:00 PM,4/2/2017 2:00:00 PM,4/2/2017 7:00:00 PM,4/2/2017 3:00:00 PM,0.00000,68571.474000,3572.800,0.00,3572.800
4/2/2017 7:00:00 PM,4/2/2017 3:00:00 PM,4/2/2017 8:00:00 PM,4/2/2017 4:00:00 PM,0.00000,68253.062000,3574.600,0.00,3574.600
4/2/2017 8:00:00 PM,4/2/2017 4:00:00 PM,4/2/2017 9:00:00 PM,4/2/2017 5:00:00 PM,0.00000,68962.800000,3577.400,0.00,3577.400
4/2/2017 9:00:00 PM,4/2/2017 5:00:00 PM,4/2/2017 10:00:00 PM,4/2/2017 6:00:00 PM,0.01000,70442.308000,3552.300,35.55,3552.300
4/2/2017 10:00:00 PM,4/2/2017 6:00:00 PM,4/2/2017 11:00:00 PM,4/2/2017 7:00:00 PM,0.01000,71900.034000,3501.400,35.02,3501.400
4/2/2017 11:00:00 PM,4/2/2017 7:00:00 PM,4/3/2017 12:00:00 AM,4/2/2017 8:00:00 PM,0.75000,74772.238000,3501.400,2626.11,3501.400
4/3/2017 12:00:00 AM,4/2/2017 8:00:00 PM,4/3/2017 1:00:00 AM,4/2/2017 9:00:00 PM,1.00000,78525.030000,3498.800,3498.81,3498.800
4/3/2017 1:00:00 AM,4/2/2017 9:00:00 PM,4/3/2017 2:00:00 AM,4/2/2017 10:00:00 PM,0.24000,76679.450000,3540.600,849.75,3540.600
4/3/2017 2:00:00 AM,4/2/2017 10:00:00 PM,4/3/2017 3:00:00 AM,4/2/2017 11:00:00 PM,0.01000,72680.852000,3429.400,34.34,3429.400
4/3/2017 3:00:00 AM,4/2/2017 11:00:00 PM,4/3/2017 4:00:00 AM,4/3/2017 12:00:00 AM,0.00000,68687.963000,3275.100,0.00,3275.100
4/3/2017 4:00:00 AM,4/3/2017 12:00:00 AM,4/3/2017 5:00:00 AM,4/3/2017 1:00:00 AM,0.00000,65526.159000,3146.600,0.00,3146.600
4/3/2017 5:00:00 AM,4/3/2017 1:00:00 AM,4/3/2017 6:00:00 AM,4/3/2017 2:00:00 AM,0.00000,64129.050000,2785.000,0.00,2785.000
4/3/2017 6:00:00 AM,4/3/2017 2:00:00 AM,4/3/2017 7:00:00 AM,4/3/2017 3:00:00 AM,0.00000,63653.765000,2887.900,0.00,2887.900
4/3/2017 7:00:00 AM,4/3/2017 3:00:00 AM,4/3/2017 8:00:00 AM,4/3/2017 4:00:00 AM,0.00000,64130.929000,2936.000,0.00,2936.000
4/3/2017 8:00:00 AM,4/3/2017 4:00:00 AM,4/3/2017 9:00:00 AM,4/3/2017 5:00:00 AM,0.00000,66033.769000,2732.900,0.00,2732.900
4/3/2017 9:00:00 AM,4/3/2017 5:00:00 AM,4/3/2017 10:00:00 AM,4/3/2017 6:00:00 AM,0.00000,71373.617000,2680.800,0.00,2680.800
4/3/2017 10:00:00 AM,4/3/2017 6:00:00 AM,4/3/2017 11:00:00 AM,4/3/2017 7:00:00 AM,0.01000,80028.958000,4017.600,40.21,4017.600
4/3/2017 11:00:00 AM,4/3/2017 7:00:00 AM,4/3/2017 12:00:00 PM,4/3/2017 8:00:00 AM,0.24000,84802.448000,4570.500,1096.90,4570.500
4/3/2017 12:00:00 PM,4/3/2017 8:00:00 AM,4/3/2017 1:00:00 PM,4/3/2017 9:00:00 AM,0.24000,84716.660000,4570.700,1096.97,4570.700
4/3/2017 1:00:00 PM,4/3/2017 9:00:00 AM,4/3/2017 2:00:00 PM,4/3/2017 10:00:00 AM,0.24000,83770.642000,4559.700,1094.30,4559.700
4/3/2017 2:00:00 PM,4/3/2017 10:00:00 AM,4/3/2017 3:00:00 PM,4/3/2017 11:00:00 AM,0.09000,82984.205000,4565.700,410.95,4565.700
4/3/2017 3:00:00 PM,4/3/2017 11:00:00 AM,4/3/2017 4:00:00 PM,4/3/2017 12:00:00 PM,0.05000,82587.418000,4572.500,228.72,4572.500
4/3/2017 4:00:00 PM,4/3/2017 12:00:00 PM,4/3/2017 5:00:00 PM,4/3/2017 1:00:00 PM,0.01000,81862.331000,4580.400,45.83,4580.400
4/3/2017 5:00:00 PM,4/3/2017 1:00:00 PM,4/3/2017 6:00:00 PM,4/3/2017 2:00:00 PM,0.01000,81432.792000,4565.600,45.69,4565.600
4/3/2017 6:00:00 PM,4/3/2017 2:00:00 PM,4/3/2017 7:00:00 PM,4/3/2017 3:00:00 PM,0.01000,80935.863000,4579.600,45.82,4579.600
4/3/2017 7:00:00 PM,4/3/2017 3:00:00 PM,4/3/2017 8:00:00 PM,4/3/2017 4:00:00 PM,0.00000,80512.514000,4608.600,0.00,4608.600
4/3/2017 8:00:00 PM,4/3/2017 4:00:00 PM,4/3/2017 9:00:00 PM,4/3/2017 5:00:00 PM,0.00000,80709.169000,4134.500,0.00,4134.500
4/3/2017 9:00:00 PM,4/3/2017 5:00:00 PM,4/3/2017 10:00:00 PM,4/3/2017 6:00:00 PM,0.00000,81577.965000,4134.500,0.00,4134.500
4/3/2017 10:00:00 PM,4/3/2017 6:00:00 PM,4/3/2017 11:00:00 PM,4/3/2017 7:00:00 PM,0.00000,82360.320000,4128.600,0.00,4128.600
4/3/2017 11:00:00 PM,4/3/2017 7:00:00 PM,4/4/2017 12:00:00 AM,4/3/2017 8:00:00 PM,0.01000,84464.490000,3900.600,39.04,3900.600
4/4/2017 12:00:00 AM,4/3/2017 8:00:00 PM,4/4/2017 1:00:00 AM,4/3/2017 9:00:00 PM,0.09000,85286.362000,3403.500,306.35,3403.500
4/4/2017 1:00:00 AM,4/3/2017 9:00:00 PM,4/4/2017 2:00:00 AM,4/3/2017 10:00:00 PM,0.01000,82108.815000,3413.500,34.15,3413.500
4/4/2017 2:00:00 AM,4/3/2017 10:00:00 PM,4/4/2017 3:00:00 AM,4/3/2017 11:00:00 PM,0.00000,76653.546000,3104.000,0.00,3104.000
4/4/2017 3:00:00 AM,4/3/2017 11:00:00 PM,4/4/2017 4:00:00 AM,4/4/2017 12:00:00 AM,0.00000,71447.800000,2878.500,0.00,2878.500
4/4/2017 4:00:00 AM,4/4/2017 12:00:00 AM,4/4/2017 5:00:00 AM,4/4/2017 1:00:00 AM,0.00000,67263.594000,3427.400,0.00,3427.400
4/4/2017 5:00:00 AM,4/4/2017 1:00:00 AM,4/4/2017 6:00:00 AM,4/4/2017 2:00:00 AM,0.00000,64810.664000,3354.900,0.00,3354.900
4/4/2017 6:00:00 AM,4/4/2017 2:00:00 AM,4/4/2017 7:00:00 AM,4/4/2017 3:00:00 AM,0.00000,63551.983000,3528.900,0.00,3528.900
4/4/2017 7:00:00 AM,4/4/2017 3:00:00 AM,4/4/2017 8:00:00 AM,4/4/2017 4:00:00 AM,0.00000,63266.104000,3293.900,0.00,3293.900
4/4/2017 8:00:00 AM,4/4/2017 4:00:00 AM,4/4/2017 9:00:00 AM,4/4/2017 5:00:00 AM,0.00000,64520.031000,3294.200,0.00,3294.200
4/4/2017 9:00:00 AM,4/4/2017 5:00:00 AM,4/4/2017 10:00:00 AM,4/4/2017 6:00:00 AM,0.00000,68785.227000,3161.300,0.00,3161.300
4/4/2017 10:00:00 AM,4/4/2017 6:00:00 AM,4/4/2017 11:00:00 AM,4/4/2017 7:00:00 AM,0.00000,76940.951000,3987.900,0.00,3987.900
4/4/2017 11:00:00 AM,4/4/2017 7:00:00 AM,4/4/2017 12:00:00 PM,4/4/2017 8:00:00 AM,0.00000,81472.731000,4658.100,0.00,4658.100
4/4/2017 12:00:00 PM,4/4/2017 8:00:00 AM,4/4/2017 1:00:00 PM,4/4/2017 9:00:00 AM,0.01000,82692.330000,4559.200,45.62,4559.200
4/4/2017 1:00:00 PM,4/4/2017 9:00:00 AM,4/4/2017 2:00:00 PM,4/4/2017 10:00:00 AM,0.01000,83261.842000,4296.600,42.96,4296.600
4/4/2017 2:00:00 PM,4/4/2017 10:00:00 AM,4/4/2017 3:00:00 PM,4/4/2017 11:00:00 AM,0.01000,83566.933000,4495.400,44.97,4495.400
4/4/2017 3:00:00 PM,4/4/2017 11:00:00 AM,4/4/2017 4:00:00 PM,4/4/2017 12:00:00 PM,0.01000,83597.597000,4524.600,45.26,4524.600
4/4/2017 4:00:00 PM,4/4/2017 12:00:00 PM,4/4/2017 5:00:00 PM,4/4/2017 1:00:00 PM,0.01000,83376.411000,4529.300,45.28,4529.300
4/4/2017 5:00:00 PM,4/4/2017 1:00:00 PM,4/4/2017 6:00:00 PM,4/4/2017 2:00:00 PM,0.01000,83310.898000,4559.200,45.63,4559.200
