MonthEnd
740
1412
2156
2876
3620
4340
5084
5828
6548
7292
8012
8756
9500
10196
10940
11660
12404
13124
13868
14612
15332
16076
16796
17540
18284
18956
19700
20420
21164
21884
22628
23372
24092
24836
25556
26300
27044
27716
28460
29180
29924
30644
31388
32132
32852
33596
34316
35060
35804
36476
37220
37940
38684
39404
40148
40892
41612
42356
43076
43820
44564
45260
46004
46724
47468
48188
48932
49676
50396
51140
51860
52604
53348
54020
54764
55484
56228
56948
57692
58436
59156
59900
60620
61364
62108
62780
63524
64244
64988
65708
66452
67196
67916
68660
69380
70124
70868
71540
72284
73004
73748
74468
75212
75956
76676
77420
78140
78884
79628
80324
81068
81788
82532
83252
83996
84740
85460
86204
86924
87668
87696
