C,SETP.WORLD,BILLING_AS_RECOVERY_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:08,0000000285825151,,0000000285825146
I,BILLING,ASRECOVERY_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_CUSTOMER_RECOVERY,TOTAL_GENERATOR_RECOVERY,ENERGY_CUSTOMER,ENERGY_GENERATOR,RECOVERY_RATE_CUSTOMER,RECOVERY_RATE_GENERATOR
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,SA1,-19.467290,-123.484920,-2012.100440,-1495.099769,-4601.611630,-4167.499380,-3623.008703,-2253.226805,-39547.200010,0,0,-23136.586470,-34706.112477,-285129.136621,227852.506174,-0.0811442378151401136248594020,-0.1523183267095452140980144969
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,TAS1,-4984.168520,-6656.358470,-5448.978450,-17029.681681,-227412.843340,-11099.892680,-19970.709867,-34460.118017,-62495.999990,0,0,-62739.4038,-326819.347215,-184468.896118,188476.537214,-0.3401083061713949861323796920,-1.73400547381620678123628591
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk04,REVISE2,VIC1,-57.493740,-365.452310,-5937.2984,-3250.7717,-20929.611310,-18684.507240,-16258.725869,-4765.081644,-92803.200010,0,0,-56128.404910,-106923.737313,-837504.682027,1033802.327180,-0.0670186162710795416910646624,-0.1034276423082408329542448883
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,NSW1,-122.451790,-772.009330,-8781.177060,-10450.017868,-19564.272270,-24173.481960,-15644.161429,-4682.031450,-143892.000030,-192319.679980,0,-281236.795160,-139164.488007,-1249613.489958,1140957.234852,-0.2250590261869311918998658617,-0.1219716951311078814267775482
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,QLD1,-105.259090,-662.902740,-7525.353190,-7940.039015,-18934.061390,-23123.473050,-14868.445719,-3526.849622,-59532.479990,0,0,-43959.4330,-92259.430806,-1054477.736717,1075205.892798,-0.0416883462488860511508691553,-0.0858062920078627870630432668
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,SA1,-22.775140,-142.806630,-1650.097260,-3195.765622,-4008.414410,-4895.526640,-3093.035121,-1428.658765,-39547.199970,0,0,-23041.168820,-34943.110738,-225367.388377,221038.319050,-0.1022382563241855443866707536,-0.1580862127805798657063212949
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,TAS1,-35333.2211,-6474.764940,-5469.121720,-25983.032451,-103838.773190,-12018.246780,-24277.793769,-15113.734420,-62496.000010,0,0,-89800.230620,-201204.457760,-180163.853451,183910.947674,-0.4984364449355174666145801319,-1.09403197745821213781888154
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk05,REVISE2,VIC1,-72.069830,-454.373990,-5217.982530,-7316.525166,-16230.656070,-19652.410740,-12934.234660,-3274.277378,-92803.199990,0,0,-56455.101710,-101500.628644,-743991.191569,936058.202227,-0.0758814114330333205445224695,-0.1084340999336550435087799221
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk06,REVISE2,NSW1,-109.685380,-745.417410,-10083.911680,-12896.306863,-30207.641630,-46912.180820,-23706.794382,-5219.233560,-143891.999990,-192319.68,0,-281923.635570,-184169.216145,-1238268.868310,1171125.500211,-0.2276756226252960734099294316,-0.1572583093031605039229639638
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk06,REVISE2,QLD1,-95.314520,-648.218920,-8815.666520,-8638.256783,-30903.566680,-45299.277520,-22736.593704,-3482.849070,-59532.479980,0,0,-44662.328230,-135489.895467,-1089990.534006,1100285.941986,-0.0409749688979905858399060706,-0.1231406221753980827562509865
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk06,REVISE2,SA1,-20.746760,-140.191830,-1934.469210,-9898.015870,-6437.969130,-9264.879090,-4615.708083,-10052.907189,-389547.200030,0,0,-198277.814390,-233634.272802,-227810.793765,232427.230121,-0.8703618082053435313879628103,-1.00519320683885283997274676
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk06,REVISE2,TAS1,-188459.8923,-6729.945640,-5352.033260,-21502.850685,-42513.233740,-4223.850080,-3549.824220,-29102.664776,-62495.999990,0,0,-253195.8224,-110734.472291,-179893.695358,183125.414591,-1.40747468607014860852620097,-0.6046919950369479079138834679
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk06,REVISE2,VIC1,-67.113250,-456.675270,-6170.235610,-10830.197663,-24976.692530,-37665.890230,-18948.052537,-4381.229101,-92803.199980,0,0,-57961.601390,-138337.684781,-769426.665374,922448.917095,-0.0753308976649857128012262785,-0.1499678542814670070703336674
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk07,REVISE2,NSW1,-103.5635,-615.012090,-7324.120050,-11746.032836,-42785.2204,-42019.013180,-24218.661830,-5222.657508,-143891.999980,-192319.680010,0,-278776.051630,-191469.909754,-1310773.476392,1248245.476437,-0.2126805711673015392191364395,-0.1533912306259926971419211387
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk07,REVISE2,QLD1,-81.857130,-483.315820,-5743.633440,-7558.812403,-38751.159970,-38655.566310,-21296.4310,-3309.127647,-59532.479960,0,0,-40612.551910,-134799.831770,-1000018.258489,1049996.574427,-0.0406118103997065468724107021,-0.1283812109992477203104866734
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk07,REVISE2,SA1,-20.216820,-119.3031,-1427.366320,-14297.290192,-7496.2742,-7526.626230,-4170.085884,-24585.425120,-39547.200030,0,0,-22710.467080,-76479.320816,-249433.693502,203525.136440,-0.0910481128717997505587848760,-0.3757733425647224688331475366
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk07,REVISE2,TAS1,-108310.462330,-6150.109810,-5108.702190,-36930.869281,-41268.949120,-8914.913440,-1272.024097,-75972.184130,-62495.999990,0,0,-197297.317580,-149126.896808,-177528.422437,180534.907237,-1.11135622607143620758811441,-0.8260280468210580068230752315
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk07,REVISE2,VIC1,-64.9184,-385.269080,-4585.343330,-9892.549462,-35337.085910,-35440.563460,-19612.193371,-4388.918419,-92803.199970,0,0,-56160.203520,-146349.837882,-818679.988593,973008.908403,-0.0685984808502746751588938529,-0.1504095559846456708268777685
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk08,REVISE2,NSW1,-105.799520,-735.988410,-7512.102850,-10342.735466,-27962.7018,-27760.973330,-20771.317715,-5923.017136,-143892.000030,-192319.680020,0,-278869.725410,-158456.590867,-1331980.211301,1273658.416412,-0.2093647661158692735256585194,-0.1244105867202488914981247662
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk08,REVISE2,QLD1,-87.539840,-611.658240,-6248.664690,-6806.501536,-25092.194720,-24940.506170,-18362.005239,-3893.244451,-59532.48,0,0,-41376.0428,-104198.752086,-1093747.506409,1114085.288985,-0.0378296110917282302479445871,-0.0935285234588560551865278609
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk08,REVISE2,SA1,-18.760690,-129.785210,-1315.370090,-6870.795423,-4482.207950,-4458.542420,-3158.725776,-8996.623467,-39547.199990,0,0,-22425.464420,-46552.546596,-220673.946497,190017.512844,-0.1016226191445978778352694826,-0.2449908216313649372649821504
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk08,REVISE2,TAS1,-100637.812550,-7127.175080,-5173.725430,-13551.664245,-4939.639660,-1877.714690,-41.613430,-24957.166849,-62496,0,0,-160117.193770,-60685.318164,-178575.046451,182331.613324,-0.8966381191110890615752596991,-0.3328293819029796015868877827
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk08,REVISE2,VIC1,-60.399840,-420.063610,-4272.4418,-8512.420721,-21215.654810,-21072.0368,-15291.865865,-4825.094434,-92803.200030,0,0,-55375.468420,-113097.709490,-746671.195439,916274.690982,-0.0741631239537001137218446602,-0.1234321002239947035752315728
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk09,REVISE2,NSW1,-91.200860,-634.2094,-10469.389450,-7491.9691,-19953.534990,-18310.536790,-22559.668493,-7695.305227,-82691.999990,-192319.679960,0,-250789.526270,-111427.967990,-1404126.500188,1345245.380504,-0.1786089260735564223723228587,-0.0828309612542606877622970267
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk09,REVISE2,QLD1,-73.833330,-510.771780,-8388.090640,-4816.721704,-17575.683690,-16085.673080,-18384.898284,-4787.894021,-59532.480030,0,0,-42762.318830,-87393.727729,-1054702.435222,1090822.627440,-0.0405444392673646709487733789,-0.0801172670336883308024533070
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk09,REVISE2,SA1,-17.521340,-120.869730,-2056.146310,-6223.873560,-3630.711060,-3335.233540,-3810.361791,-18558.069060,-27397.199990,0,0,-17037.485580,-48112.500801,-259392.231643,229933.958169,-0.0656823277708971293103730074,-0.2092448683270942400457485859
