C,SETP.WORLD,BILLING_AS_PAYMENTS_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:06,0000000285825150,,0000000285825146
I,BILLING,ASPAYMENT_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_AS_PAYMENT
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk01,REVISE2,NSW1,112.834370,687.775480,4917.007680,11062.971390,119399.5722,63662.532950,32243.722030,11104.025120,67200,192319.68,0,502710.121220
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk01,REVISE2,QLD1,0,2.222910,111.923080,5225.335660,47201.968980,30472.174110,27787.835590,12156.631560,59532.48,0,0,182490.571890
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk01,REVISE2,SA1,0,169.242470,16.662660,709.955470,14078.659090,13710.485840,394.641340,1645.731020,39197.20,0,0,69922.577890
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk01,REVISE2,TAS1,3697.6348,6933.064480,3658.001140,18480.036880,121832.467530,11016.119420,5366.285080,51553.822880,62496,0,0,285033.432210
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk01,REVISE2,VIC1,344.371970,1881.020840,12722.883130,13318.149820,93305.6958,55189.3163,6898.054590,1169.032950,169495.20,0,0,354323.7254
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk02,REVISE2,NSW1,189.348360,1070.052010,13887.959170,13288.535280,76066.410090,65676.042660,30566.063740,10371.001570,67200,192319.68,0,470635.092880
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk02,REVISE2,QLD1,0,4.190560,1001.964650,5317.173470,28394.746360,26601.068790,25399.606990,7896.072870,59532.48,0,0,154147.303690
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk02,REVISE2,SA1,4.140610,228.734430,15.343250,490.152120,5745.286210,12968.854970,47.800680,1147.195710,39547.20,0,0,60194.707980
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk02,REVISE2,TAS1,4111.271940,7500.822310,3685.497990,18503.513790,86521.012820,9097.695150,1470.654170,54547.140020,62496,0,0,247933.608190
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk02,REVISE2,VIC1,360.322480,1837.224240,18810.584240,7366.061380,56513.8780,42662.953660,4817.009220,613.312910,169495.20,0,0,302476.546130
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk03,REVISE2,NSW1,94.980950,603.390540,12976.230310,17259.737530,75308.562930,62929.783260,51052.513150,58209.765250,49000,192319.68,0,519754.643920
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk03,REVISE2,QLD1,0,1.583340,1464.224970,10291.424030,29743.353290,28742.2107,45028.508090,68531.659580,59532.48,0,0,243335.4440
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk03,REVISE2,SA1,1.678490,155.9103,59.008150,1140.009920,9901.1649,14603.804330,5739.981210,27830.7998,39547.20,0,0,98979.5571
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk03,REVISE2,TAS1,4012.366040,7362.355130,3662.078380,18480.763250,147510.269320,9668.737480,2532.048050,61519.337150,62496,0,0,317243.9548
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk03,REVISE2,VIC1,238.604210,1280.237390,20738.073250,10700.796120,50047.4967,33119.150590,15234.729910,18400.907350,169495.20,0,0,319255.195520
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk04,REVISE2,NSW1,69.429850,298.608740,4804.578280,9010.348720,30211.392280,25608.790860,22263.189270,11435.702940,67200,192319.68,0,363221.720940
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk04,REVISE2,QLD1,0,0,272.504920,5490.253660,12075.899540,11479.607920,20445.408540,13530.273560,59532.48,0,0,122826.428140
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk04,REVISE2,SA1,0,120.862070,24.098680,1232.723410,4557.172730,6527.348260,554.498740,1461.837020,39547.20,0,0,54025.740910
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk04,REVISE2,TAS1,4984.168530,6656.358490,3716.4750,18167.577160,227412.843350,11099.892710,6562.282480,47105.060630,62496,0,0,388200.658350
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk04,REVISE2,VIC1,176.551410,1149.052120,13132.813980,4479.0702,23665.361650,19431.186050,4450.123330,982.334590,169495.20,0,0,236961.693330
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk05,REVISE2,NSW1,113.856350,516.743740,5534.892830,22804.272320,28313.931180,37014.116660,21258.821950,11591.420720,67200,192319.68,0,386667.735750
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk05,REVISE2,QLD1,2.133330,9.333330,225.447020,11633.284640,10473.784310,13728.403130,15813.217050,7689.139340,59532.48,0,0,119107.222150
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk05,REVISE2,SA1,0.133330,108.538710,10.115760,1454.238550,1064.811940,3117.960290,40.640950,226.670450,39547.20,0,0,45570.309980
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk05,REVISE2,TAS1,35333.2211,6474.764930,3738.343270,26243.302240,103838.773190,12018.246770,7779.901160,30987.369880,62496,0,0,288909.922540
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk05,REVISE2,VIC1,206.432910,1397.476980,11060.457540,824.7577,18884.8767,17984.412370,2658.010650,798.030170,169495.20,0,0,223309.655020
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk06,REVISE2,NSW1,175.870810,695.600150,7840.897520,30684.749710,43140.534070,67123.678840,30391.943460,12682.479590,67200,192319.68,0,452255.434150
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk06,REVISE2,QLD1,0.110460,1.688140,251.804340,12128.205880,18108.647730,31602.451810,24843.087130,10103.811580,59532.48,0,0,156572.287070
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk06,REVISE2,SA1,0,71.366030,52.556910,1393.293340,1633.372050,8601.1290,895.139710,1033.416850,389547.20,0,0,403227.473890
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk06,REVISE2,TAS1,188459.8923,6729.945630,3619.5298,28343.528160,42513.233740,4223.850080,1668.570460,39105.847150,62496,0,0,377160.397320
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk06,REVISE2,VIC1,116.878710,1221.849030,10871.805780,935.572790,29643.316130,31814.968020,4176.978770,894.581950,169495.20,0,0,249171.151180
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk07,REVISE2,NSW1,170.528340,482.130420,5751.822040,26442.323570,65208.1511,64352.557780,32252.807430,13424.407140,67200,192319.68,0,467604.407820
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk07,REVISE2,QLD1,0,0,87.260170,10452.710310,18844.898640,20389.089040,24965.340870,8022.229050,59532.48,0,0,142294.008080
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk07,REVISE2,SA1,0,130.573880,5.986640,1682.502780,4732.168490,10274.585620,90.802770,350.647580,39547.20,0,0,56814.467760
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk07,REVISE2,TAS1,108310.462340,6150.1098,3376.306930,48611.400750,41268.949130,8914.913430,923.667110,99003.533550,62496,0,0,379055.343040
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk07,REVISE2,VIC1,100.027540,990.195780,7572.418370,631.987920,35584.522260,28625.536760,4093.949330,920.324090,169495.20,0,0,248014.162050
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk08,REVISE2,NSW1,141.852940,554.729060,5278.931240,22278.676240,39096.742460,39340.094860,24731.363390,13559.086710,67200,192319.68,0,404501.1569
