C,SETP.WORLD,BILLING_AS_PAYMENTS_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:06,0000000285825150,,0000000285825146
I,BILLING,ASPAYMENT_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_AS_PAYMENT
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk08,REVISE2,QLD1,0,0,109.223430,10665.733180,15051.777150,15347.189380,20629.120170,10345.481550,59532.48,0,0,131681.004860
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk08,REVISE2,SA1,0,103.837970,10.917040,1312.843640,1727.476450,4141.987960,48.6248,518.640580,39547.20,0,0,47411.528440
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk08,REVISE2,TAS1,100637.812550,7127.175090,3444.1920,18402.858420,4939.639660,1877.714690,6.613360,31894.026220,62496,0,0,230826.031990
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk08,REVISE2,VIC1,130.646880,1238.928450,8151.2543,951.792730,22876.763230,19402.786530,3049.022630,1438.694920,169495.20,0,0,226735.089670
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk09,REVISE2,NSW1,134.734760,611.710770,8735.540720,18783.416580,29875.6505,27744.071390,26438.360070,15087.9215,6000,192319.68,0,325731.086290
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk09,REVISE2,QLD1,0,0,386.134380,8458.129190,10222.256880,8752.013890,19799.075270,13619.056460,59532.48,0,0,120769.146070
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk09,REVISE2,SA1,0.023550,126.814890,53.311310,1622.223750,1997.029570,4278.5385,71.9340,1126.028970,27397.20,0,0,36673.104540
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk09,REVISE2,TAS1,13677.935850,6809.9744,3346.554770,18816.640140,2840.595960,1854.188150,0,69778.130460,62496,0,0,179620.019730
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk09,REVISE2,VIC1,101.069620,897.490070,10303.849130,41.262780,14439.882080,11074.2222,4834.890680,1344.548650,169495.20,0,0,212532.415210
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk10,REVISE2,NSW1,132.588970,825.955370,8717.015450,15677.415690,62441.429320,44630.841070,67693.634820,23331.966370,63800,192319.68,0,479570.527060
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk10,REVISE2,QLD1,2.583340,7.35,128.359840,8822.313220,25208.607170,15647.760640,28326.541360,23800.383950,59532.48,0,0,161476.379520
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk10,REVISE2,SA1,1.497450,187.842810,29.819430,1826.268850,7081.098850,11106.021660,346.407590,2385.435070,30597.20,0,0,53561.591710
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk10,REVISE2,TAS1,196597.342540,7104.799710,3351.260920,36724.823060,1914.177790,1756.576250,0,33617.120680,62496,0,0,343562.100950
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk10,REVISE2,VIC1,213.841890,1193.815420,12040.158710,190.204130,31431.739070,20116.609140,15162.528610,1123.812540,169495.20,0,0,250967.909510
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk11,REVISE2,NSW1,124.2369,899.719650,12142.018350,21424.751780,57643.983230,41905.211260,93100.656540,28487.3651,67200,192319.68,0,515247.622810
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk11,REVISE2,QLD1,26.367860,96.212920,705.779520,8929.720170,21299.077570,12604.253690,36747.002960,36782.245890,59532.48,0,0,176723.140580
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk11,REVISE2,SA1,1.836240,233.232420,56.669980,3337.921630,10413.263750,13400.211660,731.6207,8750.101690,39547.20,0,0,76472.058070
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk11,REVISE2,TAS1,195842.112180,6773.233250,3433.291360,18480.036950,9750.535070,3589.023610,0,48012.987110,62496,0,0,348377.219530
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk11,REVISE2,VIC1,156.495540,1033.394810,12226.617860,58.833330,32740.421230,21812.437620,25403.795690,2720.116890,169495.20,0,0,265647.312970
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk12,REVISE2,NSW1,68.678230,672.0349,5615.551820,26197.294950,95164.3624,66664.308950,108420.972550,25003.083510,67200,192319.68,0,587325.967310
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk12,REVISE2,QLD1,36.705950,100.971490,115.564770,10325.942090,40038.826180,28383.038510,37407.486680,55323.466870,59532.48,0,0,231264.482540
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk12,REVISE2,SA1,0.146430,142.577580,10.385280,3576.495190,15516.749210,16558.964080,4781.132790,7958.597580,35797.20,0,0,84342.248140
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk12,REVISE2,TAS1,132469.930040,6246.641380,3347.147550,27196.969940,110601.440830,3689.002070,39.838880,46719.1871,62496,0,0,392806.157790
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk12,REVISE2,VIC1,226.096010,1353.663590,7977.186280,297.4948,60884.683060,42522.204260,33138.546230,3321.032960,169495.20,0,0,319216.107190
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk13,REVISE2,NSW1,109.844640,1003.046380,14139.900980,39139.047050,122177.3431,84815.711790,137032.733330,24649.062340,67200,192319.68,0,682586.369610
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk13,REVISE2,QLD1,27.848940,168.826050,949.179010,20707.076470,248938.825460,54854.8226,41772.249280,67604.8112,59532.48,0,0,494556.119010
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk13,REVISE2,SA1,1.573690,174.511760,120.615950,283253.425720,23243.126260,26568.230740,17339.046840,267779.884450,35397.20,0,0,653877.615410
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk13,REVISE2,TAS1,60846.517330,6676.179820,3460.970970,18480.036960,17775.715980,3039.769910,6.963690,31707.470550,62496,0,0,204489.625210
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk13,REVISE2,VIC1,310.716940,1928.563330,17756.945650,1065.500250,80868.524850,56871.993570,37799.377340,4023.248150,169495.20,0,0,370120.070080
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk14,REVISE2,NSW1,103.417480,840.889060,7646.640250,54346.1817,106725.131390,93739.886720,148528.606610,38020.937430,67200,192319.68,0,709471.370640
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk14,REVISE2,QLD1,25.474480,84.1524,547.127960,24697.897640,37508.147970,31259.655410,16826.792390,42204.724130,59532.48,0,0,212686.452380
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk14,REVISE2,SA1,0.308340,152.837150,67.122260,3978.847680,12177.491420,16009.655330,12665.407750,9169.681960,38997.20,0,0,93218.551890
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk14,REVISE2,TAS1,70038.557330,6628.240670,3539.557140,19374.997630,9739.867720,3107.468920,0,47363.260220,62496,0,0,222287.949630
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk14,REVISE2,VIC1,411.129910,1746.636420,14859.704690,4389.5290,70387.5114,60112.553050,45845.004520,5579.1507,169495.20,0,0,372826.419690
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk15,REVISE2,NSW1,319.776650,2078.280870,15233.439440,45146.5389,227380.187780,117374.759060,168490.999460,32254.005770,56600,192319.68,0,857197.667930
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk15,REVISE2,QLD1,42.324460,220.143170,1123.257290,45642.805580,164668.608310,68965.631240,71787.654090,80363.864930,59532.48,0,0,492346.769070
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk15,REVISE2,SA1,7.889940,211.857280,108.546390,8028.765550,58759.849860,49821.848090,23191.293670,21170.2218,39547.20,0,0,200847.472580
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk15,REVISE2,TAS1,234012.595590,6318.545940,3203.891050,19590.699440,8051.2246,4010.9704,0,29871.707090,62496,0,0,367555.634110
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk15,REVISE2,VIC1,654.347570,1708.470340,14767.074060,2635.227810,147126.513050,83942.4873,57558.362290,6801.584880,95770.45,0,0,410964.5173
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk16,REVISE2,NSW1,771.168840,1735.456560,18323.630220,34129.879970,271355.653290,139079.729340,171360.5702,28795.870320,67200,192319.68,0,925071.638740
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk16,REVISE2,QLD1,70.979330,171.416680,1056.929610,32102.689480,177177.289330,81314.373670,65389.917170,75032.807040,59532.48,0,0,491848.882310
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk16,REVISE2,SA1,69.514720,346.503130,246.115830,10552.681550,78624.137080,60361.969770,27815.929540,19477.7316,39547.20,0,0,237041.783220
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk16,REVISE2,TAS1,264493.018650,5122.080170,2434.4636,23200.934010,10021.576150,2714.451980,14.986120,37414.571810,62496,0,0,407912.082490
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk16,REVISE2,VIC1,1017.613220,2078.706160,18839.229910,1469.222670,134555.889020,70616.595470,41424.100160,4427.726120,96226.95,0,0,370656.032730
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk17,REVISE2,NSW1,307.239510,1420.751840,17569.340640,42247.535960,189433.470610,137290.035310,124504.435980,21238.681590,67200,192319.68,0,793531.171440
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk17,REVISE2,QLD1,32.458330,88.619640,963.048440,34240.696650,105303.272620,68836.920130,55734.8360,58231.712410,59532.48,0,0,382964.044220
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk17,REVISE2,SA1,14.276150,219.152080,127.565880,4617.758920,34321.562480,37817.602690,13501.195620,13151.370120,34997.20,0,0,138767.683940
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk17,REVISE2,TAS1,50415.724360,4289.595960,1862.932230,17986.452650,17596.323670,1899.834620,3.937210,35958.299870,62496,0,0,192509.100570
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk17,REVISE2,VIC1,482.097440,1773.7118,21973.360870,615.916140,104251.307020,79747.436110,31359.960340,8445.1256,165158.45,0,0,413807.365320
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk18,REVISE2,NSW1,468.703870,3516.4441,44430.136950,60365.063850,196640.109230,133148.593470,163875.2255,30206.832360,67200,192319.68,0,892170.789330
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk18,REVISE2,QLD1,42.007170,383.863930,3585.726330,47279.0661,113709.3191,79094.203110,83416.743430,87985.125890,59532.48,0,0,475028.535060
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk18,REVISE2,SA1,1.782570,189.150750,876.0257,8592.675420,38133.016220,35552.867310,17911.636660,16119.344990,23747.20,0,0,141123.699620
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk18,REVISE2,TAS1,29271.4003,2996.371850,896.899850,18349.203360,8746.185810,1742.8770,0,43956.1252,62496,0,0,168455.063370
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk18,REVISE2,VIC1,417.020910,2249.682670,22800.865770,3572.858680,160184.882270,118442.748010,59757.434520,8462.135230,169495.20,0,0,545382.828060
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk19,REVISE2,NSW1,804.178820,9218.416970,35415.680640,42626.114750,209222.076390,123011.919650,163069.569370,46138.897820,67200,192319.68,0,889026.534410
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk19,REVISE2,QLD1,219.467120,2164.527360,3651.354090,33878.993490,107435.889520,66778.053820,71147.879020,80840.726250,59532.48,0,0,425649.370670
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk19,REVISE2,SA1,0.326140,151.762910,65.1718,1955.429350,40429.106740,36541.590520,23757.111560,32182.249030,34599.20,0,0,169681.948050
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk19,REVISE2,TAS1,178205.614450,2653.844320,613.933270,33036.048450,163214.271740,3605.493560,581.231860,110582.067010,62496,0,0,554988.504660
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk19,REVISE2,VIC1,650.608940,4925.900330,19016.883030,164.6652,143578.652410,95032.204110,57895.4730,15916.140520,169495.20,0,0,506675.727540
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk20,REVISE2,NSW1,203.601560,1529.5454,20473.249730,98550.426620,382447.424140,228573.899450,187990.882060,115919.555820,62000,192319.68,0,1290008.264780
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk20,REVISE2,QLD1,25.5250,108.568190,1567.369990,43970.291550,127694.041470,73685.307870,97273.619220,204711.4651,59532.48,0,0,608568.668390
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk20,REVISE2,SA1,4.066840,231.508580,134.263590,7688.323850,72246.703550,75120.485240,25178.1895,58079.086870,33600,0,0,272282.628020
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk20,REVISE2,TAS1,29164.315640,1634.828910,296.612840,19148.802580,17598.530430,1231.316290,1.720650,47112.451490,62496,0,0,178684.578830
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk20,REVISE2,VIC1,391.529640,2111.143690,27796.019730,5576.394480,199523.141080,129330.307330,66931.6507,33606.845670,167440.95,0,0,632707.982320
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk21,REVISE2,NSW1,267.120440,1735.902640,38313.5937,150249.498380,268691.813750,148385.460850,228552.129780,110100.338490,67200,192319.68,0,1205815.538030
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk21,REVISE2,QLD1,27.629160,95.966760,2417.093880,106066.633310,90192.088220,44309.661940,91830.560520,264530.329470,59532.48,0,0,659002.443260
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk21,REVISE2,SA1,10.685750,285.657060,273.025390,13087.559680,57597.896360,57410.066820,29475.1901,51667.701870,31750,0,0,241557.783030
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk21,REVISE2,TAS1,10433.386780,658.879540,11.763830,20896.279260,110456.077560,1585.218020,118.172790,42245.963530,62496,0,0,248901.741310
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk21,REVISE2,VIC1,317.895440,1469.183990,20277.401750,16573.651930,176178.947180,106606.133610,76615.789930,30796.632690,169495.20,0,0,598330.836520
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk22,REVISE2,NSW1,512.667150,2799.819510,48252.347610,180715.713690,246426.333420,120587.666070,283278.058630,220209.429230,67200,192319.68,0,1362301.715310
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk22,REVISE2,QLD1,25.345920,120.902050,2058.670460,88666.4937,59456.557160,28363.553010,73075.811290,267429.261360,59532.48,0,0,578729.074950
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk22,REVISE2,SA1,7.665210,266.943850,416.207060,28671.574340,55735.206340,52577.245240,41161.532680,96415.070780,33600,0,0,308851.4455
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk22,REVISE2,TAS1,116.968020,219.314240,0.478910,19550.677260,3088.035750,672.4815,0,54541.944780,62496,0,0,140685.900460
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk22,REVISE2,VIC1,309.724610,1486.849790,18102.8068,13537.085590,158785.178830,98001.813730,105901.983410,46612.007330,169495.20,0,0,612232.650090
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk23,REVISE2,NSW1,41.040630,320.426760,4796.292920,101557.371640,341259.628810,149159.498350,418663.192730,143622.694550,67200,192319.68,0,1418939.826390
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk23,REVISE2,QLD1,14.667480,39.573990,24.651630,61927.908640,93436.908370,39893.622430,160204.399910,342444.019090,59532.48,0,0,757518.231540
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk23,REVISE2,SA1,0,205.894820,0,25633.231290,105018.111010,84190.098030,76038.819850,151806.4713,33600,0,0,476492.6263
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk23,REVISE2,TAS1,8469.769490,916.100960,25.809370,18610.370550,3449.3802,1590.438840,6.161690,38571.854270,62496,0,0,134135.885370
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk23,REVISE2,VIC1,214.479560,1095.759230,6384.612330,27487.868730,180829.661170,96693.1889,119275.088380,62149.423210,169495.20,0,0,663625.281510
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk24,REVISE2,NSW1,87.523310,950.211960,21801.154810,83807.937460,277859.554170,142766.777260,238130.346780,143439.153580,67200,192319.68,0,1168362.339330
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk24,REVISE2,QLD1,11539.311380,8786.175120,2796.533180,52475.540220,55061.315490,26513.349170,79956.783970,254304.057820,287391.48,0,0,778824.546350
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk24,REVISE2,SA1,1.154660,219.211060,102.820270,17196.630410,68491.983740,55177.315590,41326.491170,112574.1941,33600,0,0,328689.8010
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk24,REVISE2,TAS1,6796.670780,361.387490,0.154330,24249.477910,121257.341790,6927.042350,6117.282540,62762.782570,62496,0,0,290968.139760
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk24,REVISE2,VIC1,250.863140,1323.229330,9038.944960,32083.525440,159952.671480,91300.528730,76519.466090,89110.601380,204495.20,0,0,664075.030550
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk25,REVISE2,NSW1,31.599310,233.315690,4289.031950,31492.7921,95768.259360,39453.497630,117284.659330,139642.3256,67200,192319.68,0,687715.160970
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk25,REVISE2,QLD1,1399.210510,4424.874650,237.789760,8073.205480,19337.030440,5510.818420,35470.779140,142285.527260,59532.48,0,0,276271.715660
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk25,REVISE2,SA1,0.001140,152.741910,3.192460,10990.584720,28748.462310,22016.493750,22246.702240,70892.460340,33600,0,0,188650.638870
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk25,REVISE2,TAS1,46.172510,86.573230,739.587450,15049.124220,58187.223140,15357.248170,14659.610920,109844.520880,62496,0,0,276466.060520
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk25,REVISE2,VIC1,144.136790,845.694780,4788.558680,5323.804640,55209.432190,25697.732570,30789.298450,14033.241120,168582.20,0,0,305414.099220
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk26,REVISE2,NSW1,46.365590,459.118490,8469.192170,46254.6331,119353.1701,56981.875570,208421.221460,194729.131890,9800,192319.68,0,836834.388370
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk26,REVISE2,QLD1,0,0,160.369810,15499.3225,24581.541770,13373.047280,82243.687720,168367.5135,59532.48,0,0,363757.962580
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk26,REVISE2,SA1,0.1384,139.323280,9.649470,9974.122730,23413.127920,23907.176650,30049.8028,23867.595110,33600,0,0,144960.936360
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk26,REVISE2,TAS1,2305.465890,270.108120,1169.660140,20552.647910,221092.948720,17553.785630,25479.739950,115785.242090,62496,0,0,466705.598450
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk26,REVISE2,VIC1,101.364820,747.838420,5442.266260,12867.509570,84927.045070,42915.030780,74040.883050,37623.776580,169495.20,0,0,428160.914550
D,BILLING,ASPAYMENT_SUMMARY,1,2016Wk27,REVISE2,NSW1,22.218850,213.959290,4869.2736,33613.0971,186238.926990,39746.785160,166980.101640,196048.003140,0,193039.68,0,820772.045770
