"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"1106",23.622453,80019,34.282167,10200.462,29.56521,47.36628,154.6,164.8,0.10087619047619,0
"1107",23.34961,78191,26.929997,10802.446,72.65076,100.35564,154.5,162.7,0.00762539682539682,0
"1108",23.092213,77908,26.912197,10865.105,13.53591,13.76757,92.7,136.5,0.00293015873015873,0
"1109",23.501465,79810,27.146933,10180.959,16.62855,17.94435,90.9,136.5,0.0277492063492063,0
"1110",25.710504,85262,29.945572,8461.399,40.20792,72.384,225.7,177.6,0,0.123345238095238
"1111",33.427341,95038,82.709578,4540.72199999999,97.2502,113.798,263.1,144.7,0.0159714285714286,0
"1112",33.906379,98723,41.190469,4608.102,15.2279,15.2279,187.1,144.7,0,0.725585714285714
"1113",33.098637,99259,48.132111,5170.197,23.144,23.144,183.5,177.7,0,0.454395238095238
"1114",33.273956,99113,31.802048,5518.414,4.86846,5.09292,183.4,177.8,0,0.193597619047619
"1115",34.385524,98758,38.026689,5899.289,55.2447,77.7897,247,175.7,0.00197619047619048,0
"1116",32.514649,97253,51.843019,6531.23,82.5729,125.5729,246.9,175.6,0.153045238095238,0
"1117",30.238387,95473,31.400426,6765.71799999999,15.24125,23.53783,216.3,180.1,0,0.365478571428571
"1118",29.392883,94159,25.647118,6490.651,29.59914,46.79382,216.4,180.2,0,0.0785380952380952
"1119",28.255628,92974,25.256659,5950.288,23.20032,43.032,216.6,177.9,0,0.0699190476190476
"1120",27.79543,92292,24.529338,5428.43399999999,17.8728,36.06416,217,177.5,0,0.14552619047619
"1121",28.171457,93532,24.952234,4841.27800000001,9.72928,19.40752,216.7,178,0,0.191933333333333
"1122",32.35492,98775,34.506468,3063.71799999999,7.3621,7.3621,256.2,144.7,0,0.0656023809523809
"1123",38.901547,103293,43.49414,2779.92,20.2664,20.2664,255.3,144.7,0,0.214569047619048
"1124",35.237209,101937,30.980062,4326.37300000001,4.83406,5.25546,255.4,144.7,0,0.0395261904761905
"1125",32.225822,99985,28.162424,4540.216,24.3724,28.5262,255.5,144.7,0,0.0157404761904762
