load
76169.255
74087.963
72329.2
71574.892
71830.003
73351.677
75415.295
77176.364
78499.044
80815.425
82968.757
84081.248
84390.643
83903.716
83386.541
83633.512
85944.545
92189.638
93675.944
93073.716
92108.382
90294.556
87091.956
83555.312
80061.183
77936.356
76856.867
76795.828
77539.129
79631.496
82883.797
86073.985
87821.742
87964.832
87503.347
86224.071
84508.675
82679.212
81274.337
81062.756
83522.351
90629.873
93919.841
93875.47
93227.636
91742.395
88873.557
85102.79
81829.181
79569.364
78497.456
78087.225
78570.347
80061.722
82397.312
84924.797
86443.223
85893.659
84954.321
84040.737
83637.623
82961.816
82552.102
82904.921
86648.549
94055.123
96827.765
96758.552
95735.283
92611.919
88557.757
84112.133
80971.986
79572.803
79473.887
80241.121
82937.006
88745.616
97914.384
103643.474
103952.916
103385.745
102879.11
102144.003
101591.679
101277.113
101129.454
102106.714
105720.312
113401.517
116591.008
116222.736
115153.467
112091.829
106860.513
101777.129
98215.629
97340.961
97230.152
98068.684
100909.126
106786.733
116073.959
121343.538
120026.268
116235.018
113281.702
110248.073
106937.396
104724.289
102715.027
102399.04
105381.401
113518.643
117200.614
117222.599
116068.284
112704.954
107266.956
102241.353
98941.688
97606.781
97404.69
98079.742
100582.565
106142.928
115184.16
119995.418
117698.379
112788.754
108057.902
104141.808
100751.785
98417.616
96710.198
96469.524
99179.116
106745.335
109958.665
109605.8
108218.797
104540.672
99056.927
93570.743
89708.522
87827.156
87075.235
87194.926
88953.416
94286.478
103133.783
108616.532
107413.194
104850.21
102220.244
99386.752
97079.956
95206.953
93861.358
93239.323
95002.715
101299.081
103610.597
102965.928
101479.005
98096.747
92639.853
86977.143
83060.94
80941.945
79817.825
79786.956
81305.833
86120.924
94699.498
99744.15
99897.336
99513.023
99225.966
98243.434
97064.389
96182.619
95194.996
94607.994
96065.842
99775.588
99644.971
97518.769
95058.2
91718.094
87031.327
81649.148
77400.478
74708.791
73121.736
72537.041
72944.716
74550.082
77386.752
80861.814
83633.203
85716.787
86503.422
86189.704
