MonthEnd
1488
2832
4322
5762
7250
8690
10178
11666
13106
14592
16032
17520
19008
20400
21888
23330
24818
26258
27746
29234
30674
32160
33600
35088
36576
37920
39408
40850
42338
43778
45266
46754
48194
49680
51120
52608
54096
55440
56928
58370
59858
61298
62786
64274
65714
67200
68640
70128
71616
72960
74448
75890
77378
78818
80306
81794
83234
84720
86160
87648
89136
90528
92016
93458
94946
96386
97874
99362
100802
102288
103728
105216
106704
108048
109536
110978
112466
113906
115394
116882
118322
119808
121248
122736
124224
125568
127056
128498
129986
131426
132914
134402
135842
137328
138768
140256
141744
143088
144576
146018
147506
148946
150434
151922
153362
154848
156288
157776
159264
160656
162144
163586
165074
166514
168002
169490
170930
172416
173856
175344
