"","datetime","price_avg","price_dev","price_par","load_avg","load_dev","load_par"
"1",2006-01-01,23.9904166666667,15.4514086818524,1.87658266321621,10274.5041666667,444.524455706336,1.07909830198619
"2",2006-01-02,82.7304166666667,31.8541208144616,1.77588855368592,9828.675,527.561701522242,1.14681785693392
"3",2006-01-03,65.155,19.961831187239,1.54554523827795,9417.06666666667,699.508606819453,1.09886659681713
"4",2006-01-04,43.3041666666667,7.16412676596671,1.34398152602713,10400.8291666667,772.914117777742,1.14900454651252
"5",2006-01-05,21.45625,11.2510450963841,1.94675211185552,10093.9958333333,639.944469383811,1.10387404393453
"6",2006-01-06,47.9220833333333,12.8235272835813,1.5007694782329,8715.19583333333,436.19807375446,1.16327850731983
"7",2006-01-07,36.3708333333333,12.5779682871235,1.84131057394891,9350.00833333333,462.295763522677,1.10158190589848
"8",2006-01-08,55.4479166666667,16.6592548972601,1.5906819462709,10036.525,716.927351391976,1.10156652825555
"9",2006-01-09,41.6141666666667,16.0122634840942,1.60882712217394,10390.3958333333,552.732604177657,1.1316796961938
"10",2006-01-10,28.1733333333333,10.6701573545574,1.79141031708471,10592.5958333333,791.219948246771,1.15150244490747
"11",2006-01-11,28.0516666666667,16.0895930898547,2.26011526350187,11711.9166666667,1346.16376762835,1.15408949574152
"12",2006-01-12,41.8241666666667,13.4525730258004,1.43577277889577,10725.8541666667,640.274234710454,1.08668268455698
"13",2006-01-13,57.5708333333333,22.5413282114482,1.5636389954404,10485.1916666667,285.16351513179,1.04898416258485
"14",2006-01-14,83.2654166666667,22.807997067994,1.43420888023739,10264.5541666667,533.721852310788,1.11924978069757
"15",2006-01-15,80.1645833333333,25.6312543551587,1.69401491722758,10511.3916666667,1412.06909084465,1.16452705675668
"16",2006-01-16,28.5045833333333,12.835347924407,1.75270058908655,11261.0625,876.923800076896,1.11748780365973
"17",2006-01-17,43.2791666666667,18.6471790422006,1.66246269375181,9409.39583333333,1087.91198951864,1.25020779318545
"18",2006-01-18,42.15125,11.6997641419928,1.5437264612556,9280.75,843.881347006845,1.14287099641732
"19",2006-01-19,25.2820833333333,11.5431240512402,1.66085996341283,10287.9,537.815056299662,1.10826310520126
"20",2006-01-20,51.7841666666667,14.4644715909637,1.34732302344668,10067.5833333333,594.388682426829,1.11368335664799
"21",2006-01-21,39.035,12.3893453523933,1.59933393108749,9823.89166666667,784.020405078663,1.18015348635597
"22",2006-01-22,39.345,17.7750677855981,1.46930995043843,12061.2291666667,1015.54017430826,1.09995422661109
"23",2006-01-23,53.8641666666667,21.5821923205757,1.76221049863082,10697.05,648.138054939586,1.10020987094573
"24",2006-01-24,30.4379166666667,7.38084122645549,1.45870693077439,9139.2375,627.039435562071,1.1504460848074
"25",2006-01-25,61.645,22.0651070204993,1.50182496552843,9831.075,381.957668096075,1.07994293604718
"26",2006-01-26,95.93,34.9242657636554,1.63754821223809,10339.8416666667,706.31248221749,1.12199977272379
"27",2006-01-27,73.55,20.0715717198317,1.34534330387492,9841.92916666667,1139.727929578,1.17580606444451
"28",2006-01-28,44.5016666666667,18.2387610817484,1.50511216808359,10230.4375,584.566684418988,1.14674470177839
"29",2006-01-29,46.6533333333333,11.34491867358,1.65797370677336,9343.31666666667,755.929723364987,1.20041955123002
"30",2006-01-30,33.25625,5.51965878947004,1.27013719225709,8612.02916666667,734.162791732523,1.15601094786507
"31",2006-01-31,43.80875,19.217243007371,1.69988872086056,9797.45416666667,866.530002982494,1.14404209596966
"32",2006-02-01,48.3829166666667,13.3763625000179,1.44885849860919,10326.2125,840.998491604137,1.16685570822797
"33",2006-02-02,18.0875,8.13253276233393,1.85321354526607,10497.3541666667,983.058080896885,1.18507957362272
"34",2006-02-03,27.8741666666667,10.6607520399816,1.88597566444438,12381.0958333333,1060.75763345752,1.14955091145338
"35",2006-02-04,62.3941666666667,18.756977349119,1.52209741829498,10247,654.330745378685,1.1345174197326
"36",2006-02-05,27.1625,7.99609700987328,1.47372296364473,10698.4125,554.675243263236,1.13379438304515
"37",2006-02-06,64.4245833333333,23.7853248470503,1.48964874950685,10119.0083333333,720.126573968932,1.1064226484644
"38",2006-02-07,66.7716666666667,14.8385604208198,1.40972967576068,9411.51666666667,561.602382680027,1.11830009686714
"39",2006-02-08,56.9704166666667,14.2491789173566,1.49867255666318,8944.89166666667,259.263760134039,1.04526699130882
"40",2006-02-09,53.7445833333333,14.7728505327279,1.46433361501547,9822.65416666667,838.957237330271,1.20789145160613
"41",2006-02-10,34.2379166666667,13.5922752931556,1.63502938993075,9432.82083333333,699.961667260471,1.19294113593627
"42",2006-02-11,15.5666666666667,8.32866431520459,2.11927194860814,9550.25833333333,1025.90086813097,1.18706736554247
"43",2006-02-12,55.4379166666667,24.0335182571932,2.07114565091581,9329.00833333333,456.610895065759,1.12310972673944
"44",2006-02-13,45.455,16.6903697825501,1.68782312176878,10061.025,517.428097294267,1.1080381969034
"45",2006-02-14,39.7775,16.6634174296506,1.58456413801772,10495.9958333333,814.236361089957,1.08257474378126
"46",2006-02-15,49.29875,19.7632140302216,1.39699282436167,11103.725,755.061945774333,1.12204688066392
"47",2006-02-16,42.03625,10.7542108284838,1.48062683992982,10292.6375,607.025649348849,1.09797901655431
"48",2006-02-17,39.13,17.1050762869567,1.63710707896754,11274.225,647.375251874159,1.09082442473873
"49",2006-02-18,65.0566666666667,20.0638956871523,1.49577291591945,10490.475,551.445333527781,1.08383080842383
"50",2006-02-19,48.2929166666667,10.7363881381786,1.55405813481963,10364.5625,632.2414926706,1.1670053608148
