"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"459",4285.75,16607,15059.25,4600.25,1194.75,7755.75,4862.5,473,0,106,3,8596.75
"460",4282,16836.25,14734.5,4592.25,1179,7754.5,4911.5,484.75,0,106,3,9066.75
"461",4278.75,17092,14594.25,4612,1170.75,7754.5,5002.75,417,0,106,3,9207.5
"462",4495,17094.25,15515.5,4612.5,1173.5,7754.75,4957,343,0,106,3,9454.75
"463",4844.25,17100.5,17852,4604,1168.25,7756.5,4874.75,309,0,106,461.25,10445.25
"464",5274.25,17179.25,18613.5,4603,1173.5,7748.25,4752,437.5,0,106,3150,10658.25
"465",5664.5,17014,18515.5,4615.5,1172.5,7759.25,4645.75,451.5,423.25,106,3896.75,11372.75
"466",5799,16915.25,18397.25,4624.5,1179,7753.5,4427.75,426,2475.5,106,2699.5,10996
"467",5545.75,16949.75,18366.5,4622.5,1176,7748,3755.75,455,5059,106,1805,10920.25
"468",5030.5,16874.75,18381.5,4624.5,1171,7754.75,3094.5,467.75,6922,106,446.5,11060.75
"469",4850,16900,18312.5,4640.75,1174.25,7746.25,2678.75,448,7790,106,298.25,11327
"470",4830.5,16796,18461.25,4646.5,1179.75,7741.25,2653.25,440.75,7460,106,50.5,11117
"471",4519.25,16699.5,18284.75,4625.5,1175.75,7740.75,2749.5,496.75,5804.75,106,81.5,10981
"472",4871.5,16874.5,18289.75,4632.75,1183.5,7736.75,2893.5,508.5,3115.75,106,136.75,10935.75
"473",5124.25,16925.25,18443.25,4629.5,1181.75,7736,3237,528.75,575.25,106,789.75,11021.75
"474",5450,16934.25,18456.75,4619.5,1239.25,7732.75,3905.25,478.75,6.25,106,2584.25,10997.5
"475",5479,16971.25,18457.75,4618.75,1253.5,7736.25,4357.25,399,0,106,1919.75,11082
"476",5137.75,16953.25,18210,4608,1198.25,7739.75,4620.75,362.5,0,106,1402,11295.75
"477",4341.5,17027.75,17993.25,4604.5,1178.75,7732.75,4699.75,329.5,0,106,283,10609
"478",3936.5,17049.5,17249,4607,1182.25,7751.75,4613.5,279.25,0,106,0,9660.25
"479",4344.75,16543,16783,4624.25,1191.25,7755,4463.25,250.5,0,106,11.25,9340
"480",4287,16268.75,16204.75,4632,1198.5,7752.75,4383.5,220.25,0,106,4.5,9075
"481",4232.5,15724.25,15727.75,4646.75,1195,7750.25,4206.25,187.5,0,106,74.5,8100
"482",4302,15709.5,14414.75,4651.5,1195.75,7752.75,4013.75,154.75,0,106,1.25,8141.75
"483",4345,15785.75,14062.75,4643.75,1192.5,7765.75,3799.25,127,0,106,1.75,8263.75
"484",4399.75,15606.25,14025.5,4628,1187.5,7753.75,3607.5,105.25,0,106,1.25,8644.75
"485",4391.25,15603.5,14080.25,4615.5,1181.25,7753.25,3453.5,97.75,0,106,1.5,8821
"486",4389.75,15628.75,14670,4620.5,1177.25,7752.5,3453,67,0,106,0.5,8499.5
"487",4521.75,15664.5,15126.5,4626.25,1175,7752.5,3465.75,58,0,106,2.75,8393.25
"488",4389.75,15654.5,15659.75,4626.5,1175.25,7759,3426.75,56,0,106,214.75,8466.75
"489",4152,15407.5,16280,4630.25,1182,7758.5,3355.75,44.5,391.25,106,788.75,8867.25
"490",4436.5,15551,16509.25,4650,1185,7756,3053.5,27.25,2521,106,861.75,9245.5
"491",4708.5,15559,16502,4648.25,1178.75,7749.25,2607.75,16.25,5489.25,106,521.75,9235.75
"492",4735.75,15616.25,16223,4663,1184.25,7750.25,2000.25,8.5,7915.25,106,255,9104.5
"493",4219.25,15855,15771.5,4680,1178,7732,1466,6.5,9136.75,106,98.25,8967.25
"494",4027,15997.25,15490,4682,1175.75,7733.25,1135.25,0.75,8866.75,106,95.5,8876
"495",4049.5,15996.75,15517.5,4676,1165.75,7734.25,1053,1.25,6894,106,101.5,8423
"496",4169,15994,15897.25,4686.5,1154.25,7694,1239.75,7.5,3601.25,106,44.5,8456.25
"497",4191.25,16176.5,16738.5,4682,1154,7672.5,1686.5,28.5,649.5,106,955,8681.75
"498",4258.25,16268.75,16907.5,4674,1145,7670.5,2634.5,101.5,13.25,106,2324.25,9204.5
"499",4253.25,16262.5,16783.25,4686.75,1119.25,7663.75,3703.5,185.5,0,106,2588.5,9655
"500",4212,16221,16458,4686.5,1096,7663.25,4423.75,231.5,0,106,654,9713.25
"501",4337.75,16029,15457,4678.75,1094.75,7660,4622.5,313,0,106,495.25,8893.25
