Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jan 1, 2017;12:00 AM;20.96;20.96;20.96;58.82;53;42;24.03;24.03;57.04;53;18.5;57.25
Jan 1, 2017;1:00 AM;20.9;20.9;20.9;58.23;52;49.94;24.03;24.03;51.94;52;13;50.21
Jan 1, 2017;2:00 AM;18.13;18.13;18.13;51.95;51;51.95;24.02;24.02;49.07;51;16;44.04
Jan 1, 2017;3:00 AM;16.03;16.03;16.03;47.27;47.27;40.99;23.04;23.19;45.01;47.27;16.4;32.81
Jan 1, 2017;4:00 AM;16.43;16.43;16.43;45.49;45.49;39;18.87;24.1;42.4;45.49;16;28.41
Jan 1, 2017;5:00 AM;13.75;13.75;13.75;44.5;45.69;35.89;18.22;25.01;42.43;17.67;16.67;24.02
Jan 1, 2017;6:00 AM;11.1;11.1;11.1;44.5;48.07;34.99;16.15;25.62;43.04;11.1;15;15.6
Jan 1, 2017;7:00 AM;15.47;15.47;15.47;44.72;45.67;29.02;16.16;25.87;41.08;15.47;14.4;14.52
Jan 1, 2017;8:00 AM;16.88;16.88;16.88;44.22;45.48;28.64;16.17;26.18;44.07;16.88;16.08;16.7
Jan 1, 2017;9:00 AM;21.81;21.81;21.81;42.06;42.06;34.94;18;25.74;43.52;35.1;16.47;21.19
Jan 1, 2017;10:00 AM;26.24;26.24;26.24;45.7;46.86;39.94;20.73;26.89;44.96;35.1;14.3;32.81
Jan 1, 2017;11:00 AM;26.42;27.48;27.48;47.91;48.02;42.44;25.76;27.48;44.22;48.02;18.5;47.23
Jan 1, 2017;12:00 PM;27.66;28.04;28.04;49.57;49.57;49.57;25.8;28.04;46.09;49.57;20.93;47.95
Jan 1, 2017;1:00 PM;28.7;28.7;28.7;48.69;48.69;48.69;25.84;28.7;44.09;48.69;20.5;45.32
Jan 1, 2017;2:00 PM;29.66;29.66;29.66;46.91;46.91;37.44;25.85;29.66;41.33;46.91;21.3;41.34
Jan 1, 2017;3:00 PM;35.33;30.38;30.38;46.51;49.43;37.3;24.07;30.38;41.64;49.43;26.57;44.17
Jan 1, 2017;4:00 PM;44.12;30.8;30.8;46.52;50.45;44.12;29.92;30.8;47.65;50.45;35.42;52.98
Jan 1, 2017;5:00 PM;51.59;30.93;30.93;51.59;53.3;51.59;30.26;30.93;53.94;53.3;41.3;59.68
Jan 1, 2017;6:00 PM;53.95;30.78;30.78;59.07;59.07;59.07;30.75;30.78;58.52;59.07;42.83;59.68
Jan 1, 2017;7:00 PM;50.97;30.51;30.51;62.1;61.71;55;30.33;30.51;59.01;61.71;41.75;57.97
Jan 1, 2017;8:00 PM;44.93;30.19;30.19;56.26;56.26;52;26.7;30.19;55.6;56.26;40;57.96
