100,8.3764e+05,-93719,-93719,0,9.3136e+05,1.0477e+05
1000,8.3764e+06,-9.3719e+05,-9.3719e+05,0,9.3136e+06,1.0477e+06
10000,7.4241e+07,-9.1814e+06,-9.1831e+06,1706.2,8.3423e+07,1.0439e+07
50000,6.7898e+07,-2.4127e+07,-2.3973e+07,-1.5448e+05,9.2026e+07,4.4282e+07
1e+05,4.9856e+07,-4.2182e+07,-4.1786e+07,-3.9565e+05,9.2038e+07,8.5839e+07
5e+05,-9.7661e+07,-1.8968e+08,-1.8736e+08,-2.3161e+06,9.2019e+07,4.1749e+08
